hours_id,country_id,year,average_hours
1,86,2011,1707
2,10,2020,1613
3,10,2021,1622
4,15,2020,1789
5,15,2021,1813
6,10,2011,1689
7,10,2012,1681
8,10,2013,1680
9,10,2014,1672
10,10,2015,1670
11,10,2016,1660
12,31,2018,1785
13,10,2018,1654
14,10,2019,1651
15,31,2010,1799
16,31,2011,1805
17,31,2012,1776
18,31,2013,1764
19,31,2014,1774
20,31,2015,1751
21,31,2016,1774
22,101,2018,1737
23,101,2019,1729
24,101,2020,1653
25,101,2021,1682
26,101,2022,1691
27,101,2023,1679
28,101,2010,1759
29,101,2011,1747
30,101,2012,1744
31,101,2013,1740
32,10,2022,1628
33,10,2023,1651
34,10,2010,1687
35,26,2011,"1426,9"
36,26,2012,1408
37,26,2013,"1396,5"
38,26,2014,"1400,4"
39,26,2015,1401
40,26,2016,"1395,6"
41,26,2017,"1389,1"
42,33,2016,2392
43,33,2017,2376
44,33,2018,2386
45,33,2019,2383
46,33,2020,2069
47,33,2021,2307
48,33,2010,2454
49,33,2011,2435
50,33,2012,2420
51,33,2013,2413
52,33,2014,2405
53,33,2015,2396
54,14,2018,2238
55,14,2019,2228
56,14,2020,2207
57,14,2021,2216
58,14,2022,2226
59,14,2023,2207
60,14,2010,2244
61,14,2011,2237
62,14,2012,2226
63,14,2013,2231
64,14,2014,2229
65,14,2015,2234
66,14,2016,2238
67,9,2018,1759
68,9,2019,1783
69,9,2020,1739
70,9,2021,1730
71,9,2022,1748
72,31,2019,1786
73,31,2020,1677
74,31,2021,1722
75,31,2022,1774
76,31,2023,1766
77,58,2013,1816
78,58,2014,1822
79,58,2015,1829
80,58,2016,1831
81,43,2018,1704
82,43,2019,1692
83,43,2020,1572
84,43,2021,1583
85,43,2022,1622
86,43,2023,1631
87,43,2010,1805
88,43,2011,1793
89,43,2012,1789
90,43,2013,1772
91,43,2014,1760
92,43,2015,1754
93,43,2016,1740
94,6,2017,1549
95,6,2018,1547
96,6,2019,1537
97,6,2020,1530
98,6,2021,1528
99,6,2023,1499
100,6,2022,1514
101,6,2010,1586
102,6,2011,1578
103,6,2012,1568
104,6,2013,1560
105,6,2014,1559
106,6,2015,1556
107,29,2018,1514
108,29,2019,1518
109,29,2020,1400
110,29,2021,1475
111,29,2022,1501
112,29,2023,1500
113,29,2010,1540
114,29,2011,1546
115,29,2012,1541
116,29,2013,1526
117,29,2014,1518
118,29,2015,1519
119,29,2016,1522
120,19,2017,1578
121,19,2018,1580
122,19,2019,1577
123,19,2020,1446
124,19,2021,1530
125,19,2022,1535
126,19,2010,1574
127,19,2011,1590
128,19,2012,1587
129,19,2013,1586
130,19,2014,1582
131,19,2015,1575
132,2,2019,1480
133,2,2020,1464
134,2,2021,1459
135,2,2022,1459
136,2,2010,1528
137,2,2023,1448
138,2,2011,1538
139,2,2012,1523
140,2,2013,1524
141,2,2014,1513
142,2,2015,1511
143,2,2016,1520
144,2,2017,1507
145,44,2015,1719
146,44,2016,1714
147,44,2017,1709
148,44,2018,1680
149,44,2019,1644
150,44,2020,1597
151,44,2021,1607
152,44,2022,1607
153,101,2014,1749
154,101,2015,1743
155,101,2016,1755
156,26,2019,"1373,1"
157,26,2020,"1315,9"
158,26,2021,"1347,6"
159,26,2022,"1346,8"
160,26,2010,"1425,7"
161,26,2023,"1342,6"
162,73,2012,1855
163,73,2013,1832
164,73,2014,1830
165,73,2015,1811
166,12,2018,2121
167,12,2019,"2059,6"
168,12,2020,"1913,2"
169,12,2021,"2073,3"
170,12,2022,2149
171,12,2023,"2170,5"
172,12,2010,"2243,1"
173,12,2011,"2285,3"
174,12,2012,"2233,4"
175,12,2013,"2140,6"
176,12,2014,"2121,7"
177,12,2015,"2148,2"
178,12,2016,"2204,7"
179,53,2018,1603
180,53,2019,1601
181,53,2020,1532
182,53,2021,1593
183,53,2022,1610
184,53,2023,1616
185,53,2010,1680
186,53,2011,1663
187,53,2012,1644
188,53,2013,1662
189,53,2014,1682
190,53,2015,1687
191,53,2016,1652
192,4,2018,1419
193,4,2019,1419
194,4,2020,1410
195,4,2021,1426
196,4,2022,1425
197,4,2023,1418
198,4,2010,1430
199,4,2011,1435
200,4,2012,1431
201,4,2013,1421
202,4,2014,1424
203,4,2015,1427
204,4,2016,1430
205,3,2018,1381
206,3,2019,1371
207,3,2020,1341
208,3,2021,1390
209,3,2022,1394
210,3,2023,1380
211,3,2010,1422
212,3,2011,1437
213,3,2012,1423
214,3,2013,1426
215,3,2014,1414
216,3,2015,1407
