hours_id;country_id;year;average_hours
0;85;2011;1707.0
1;9;2020;1613.0
2;9;2021;1622.0
3;14;2020;1789.0
4;14;2021;1813.0
5;9;2011;1689.0
6;9;2012;1681.0
7;9;2013;1680.0
8;9;2014;1672.0
9;9;2015;1670.0
10;9;2016;1660.0
11;30;2018;1785.0
12;9;2018;1654.0
13;9;2019;1651.0
14;30;2010;1799.0
15;30;2011;1805.0
16;30;2012;1776.0
17;30;2013;1764.0
18;30;2014;1774.0
19;30;2015;1751.0
20;30;2016;1774.0
21;100;2018;1737.0
22;100;2019;1729.0
23;100;2020;1653.0
24;100;2021;1682.0
25;100;2022;1691.0
26;100;2023;1679.0
27;100;2010;1759.0
28;100;2011;1747.0
29;100;2012;1744.0
30;100;2013;1740.0
31;9;2022;1628.0
32;9;2023;1651.0
33;9;2010;1687.0
34;25;2011;1426.9
35;25;2012;1408.0
36;25;2013;1396.5
37;25;2014;1400.4
38;25;2015;1401.0
39;25;2016;1395.6
40;25;2017;1389.1
41;32;2016;2392.0
42;32;2017;2376.0
43;32;2018;2386.0
44;32;2019;2383.0
45;32;2020;2069.0
46;32;2021;2307.0
47;32;2010;2454.0
48;32;2011;2435.0
49;32;2012;2420.0
50;32;2013;2413.0
51;32;2014;2405.0
52;32;2015;2396.0
53;13;2018;2238.0
54;13;2019;2228.0
55;13;2020;2207.0
56;13;2021;2216.0
57;13;2022;2226.0
58;13;2023;2207.0
59;13;2010;2244.0
60;13;2011;2237.0
61;13;2012;2226.0
62;13;2013;2231.0
63;13;2014;2229.0
64;13;2015;2234.0
65;13;2016;2238.0
66;8;2018;1759.0
67;8;2019;1783.0
68;8;2020;1739.0
69;8;2021;1730.0
70;8;2022;1748.0
71;30;2019;1786.0
72;30;2020;1677.0
73;30;2021;1722.0
74;30;2022;1774.0
75;30;2023;1766.0
76;57;2013;1816.0
77;57;2014;1822.0
78;57;2015;1829.0
79;57;2016;1831.0
80;42;2018;1704.0
81;42;2019;1692.0
82;42;2020;1572.0
83;42;2021;1583.0
84;42;2022;1622.0
85;42;2023;1631.0
86;42;2010;1805.0
87;42;2011;1793.0
88;42;2012;1789.0
89;42;2013;1772.0
90;42;2014;1760.0
91;42;2015;1754.0
92;42;2016;1740.0
93;5;2017;1549.0
94;5;2018;1547.0
95;5;2019;1537.0
96;5;2020;1530.0
97;5;2021;1528.0
98;5;2023;1499.0
99;5;2022;1514.0
100;5;2010;1586.0
101;5;2011;1578.0
102;5;2012;1568.0
103;5;2013;1560.0
104;5;2014;1559.0
105;5;2015;1556.0
106;28;2018;1514.0
107;28;2019;1518.0
108;28;2020;1400.0
109;28;2021;1475.0
110;28;2022;1501.0
111;28;2023;1500.0
112;28;2010;1540.0
113;28;2011;1546.0
114;28;2012;1541.0
115;28;2013;1526.0
